date	een_jaar_geleden_permill	twee_jaar_geleden_permill	drie_jaar_geleden_permill	vier_jaar_geleden_permill	vijf_jaar_geleden_permill	zes_jaar_geleden_permill	zeven_jaar_geleden_permill	acht_jaar_geleden_permill	negen_jaar_geleden_permill	tien_jaar_geleden_permill	elf_jaar_geleden_permill	twaalf_jaar_geleden_permill	dertien_jaar_geleden_permill	veertien_jaar_geleden_permill	vijftien_jaar_geleden_permill	zestien_jaar_geleden_permill	zeventien_jaar_geleden_permill	achttien_jaar_geleden_permill	negentien_jaar_geleden_permill	twintig_jaar_geleden_permill	dertig_jaar_geleden_permill	veertig_jaar_geleden_permill	vijftig_jaar_geleden_permill	zestig_jaar_geleden_permill	zeventig_jaar_geleden_permill	tachtig_jaar_geleden_permill	negentig_jaar_geleden_permill	honderd_jaar_geleden_permill	100_jaar_geleden_permill	honderdtien_jaar_geleden_permill	honderdtwintig_jaar_geleden_permill	honderddertig_jaar_geleden_permill	honderdveertig_jaar_geleden_permill	honderdvijftig_jaar_geleden_permill	honderdzestig_jaar_geleden_permill	honderdzeventig_jaar_geleden_permill	honderdtachtig_jaar_geleden_permill	honderdnegentig_jaar_geleden_permill	tweehonderd_jaar_geleden_permill	200_jaar_geleden_permill	no_words
1940	1.7952085882778863	0.9973381045988258	0.09973381045988257	0.09973381045988257	0.0	0.09973381045988257	0.09973381045988257	0.09973381045988257	0.0	0.4986690522994129	0.09973381045988257	0.09973381045988257	0.0	0.0	0.0	0.09973381045988257	0.0	0.0	0.0	1.0970719150587085	0.2992014313796477	0.698136673219178	0.3989352418395303	0.2992014313796477	0.09973381045988257	0.0	0.0	0.19946762091976514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10026690
1941	0.923509693927339	0.3078365646424463	0.3078365646424463	0.41044875285659504	0.3078365646424463	0.0	0.10261218821414876	0.20522437642829752	0.0	0.7182853174990413	0.10261218821414876	0.10261218821414876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20522437642829752	0.3078365646424463	0.3078365646424463	0.6156731292848926	0.20522437642829752	0.0	0.20522437642829752	0.0	0.5130609410707438	0.10261218821414876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9745431
1945	3.2490852741924723	0.43321136989232967	0.43321136989232967	0.8664227397846593	1.299634109676989	0.0	0.0	0.21660568494616483	0.0	0.8664227397846593	0.0	0.21660568494616483	0.21660568494616483	0.0	0.0	0.0	0.0	0.0	0.0	0.43321136989232967	0.0	0.0	0.43321136989232967	0.0	0.43321136989232967	0.0	0.0	1.0830284247308242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21660568494616483	4616684
1946	3.6074134872352124	1.172409383351444	0.270556011542641	0.36074134872352126	0.09018533718088032	0.36074134872352126	0.09018533718088032	0.0	0.0	0.7214826974470425	0.09018533718088032	0.09018533718088032	0.09018533718088032	0.0	0.09018533718088032	0.0	0.09018533718088032	0.0	0.0	0.541112023085282	0.270556011542641	0.09018533718088032	0.45092668590440155	0.09018533718088032	0.18037067436176063	0.0	0.0	0.9018533718088031	0.09018533718088032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09018533718088032	11088277
1947	3.135497278236645	1.4160310288810654	0.4045802939660187	0.20229014698300934	0.30343522047451404	0.30343522047451404	0.20229014698300934	0.0	0.0	0.7080155144405327	0.0	0.10114507349150467	0.0	0.0	0.10114507349150467	0.10114507349150467	0.10114507349150467	0.0	0.0	0.9103056614235421	0.20229014698300934	0.0	0.5057253674575234	0.10114507349150467	0.10114507349150467	0.0	0.0	0.8091605879320374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9886789
1948	2.8836436600787216	1.9773556526254092	0.7415083697345284	0.32955927543756824	0.16477963771878412	0.16477963771878412	0.08238981885939206	0.08238981885939206	0.16477963771878412	1.1534574640314887	0.0	0.08238981885939206	0.08238981885939206	0.0	0.32955927543756824	0.0	0.08238981885939206	0.0	0.0	0.4943389131563523	0.4943389131563523	0.08238981885939206	0.6591185508751365	0.32955927543756824	0.16477963771878412	0.0	0.0	0.7415083697345284	0.24716945657817616	0.0	0.0	0.0	0.0	0.16477963771878412	0.0	0.0	0.0	0.0	0.0	0.0	12137422
1949	2.5393065610856853	1.6928710407237904	0.5925048642533266	0.4232177601809476	0.16928710407237904	0.08464355203618952	0.16928710407237904	0.2539306561085686	0.08464355203618952	1.7775145927599798	0.2539306561085686	0.2539306561085686	0.0	0.0	0.2539306561085686	0.16928710407237904	0.0	0.08464355203618952	0.0	0.9310790723980847	0.6771484162895162	0.4232177601809476	0.3385742081447581	0.5925048642533266	0.08464355203618952	0.0	0.0	0.7617919683257057	0.08464355203618952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08464355203618952	0.08464355203618952	11814249
1950	2.50280021630868	1.6685334775391198	1.167973434277384	0.41713336938477996	0.583986717138692	0.250280021630868	0.166853347753912	0.166853347753912	0.083426673876956	1.6685334775391198	0.0	0.166853347753912	0.083426673876956	0.166853347753912	0.333706695507824	0.166853347753912	0.0	0.083426673876956	0.0	1.334826782031296	0.500560043261736	0.250280021630868	0.583986717138692	0.583986717138692	0.166853347753912	0.083426673876956	0.0	0.667413391015648	0.083426673876956	0.083426673876956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.166853347753912	11986574
1951	2.5792699943720327	2.235367328455762	0.6878053318325421	0.34390266591627106	0.7737809983116098	0.2579269994372033	0.17195133295813553	0.08597566647906776	0.08597566647906776	0.34390266591627106	0.0	0.08597566647906776	0.0	0.0	0.0	0.0	0.0	0.08597566647906776	0.0	0.8597566647906777	0.34390266591627106	0.2579269994372033	0.5158539988744066	0.34390266591627106	0.0	0.0	0.0	0.6878053318325421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11631198
1952	3.8268689411396464	3.189057450949705	0.7972643627374263	1.1958965441061393	0.5580850539161984	0.5580850539161984	0.15945287254748525	0.39863218136871315	0.07972643627374262	1.116170107832397	0.15945287254748525	0.0	0.2391793088212279	0.0	0.07972643627374262	0.07972643627374262	0.0	0.07972643627374262	0.0	1.3553494166536246	0.3189057450949705	0.4783586176424558	1.116170107832397	0.2391793088212279	0.0	0.15945287254748525	0.0	0.9567172352849116	0.07972643627374262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07972643627374262	0.0	12542891
