date	een_jaar_geleden_permill	twee_jaar_geleden_permill	drie_jaar_geleden_permill	vier_jaar_geleden_permill	vijf_jaar_geleden_permill	zes_jaar_geleden_permill	zeven_jaar_geleden_permill	acht_jaar_geleden_permill	negen_jaar_geleden_permill	tien_jaar_geleden_permill	elf_jaar_geleden_permill	twaalf_jaar_geleden_permill	dertien_jaar_geleden_permill	veertien_jaar_geleden_permill	vijftien_jaar_geleden_permill	zestien_jaar_geleden_permill	zeventien_jaar_geleden_permill	achttien_jaar_geleden_permill	negentien_jaar_geleden_permill	twintig_jaar_geleden_permill	dertig_jaar_geleden_permill	veertig_jaar_geleden_permill	vijftig_jaar_geleden_permill	zestig_jaar_geleden_permill	zeventig_jaar_geleden_permill	tachtig_jaar_geleden_permill	negentig_jaar_geleden_permill	honderd_jaar_geleden_permill	100_jaar_geleden_permill	honderdtien_jaar_geleden_permill	honderdtwintig_jaar_geleden_permill	honderddertig_jaar_geleden_permill	honderdveertig_jaar_geleden_permill	honderdvijftig_jaar_geleden_permill	honderdzestig_jaar_geleden_permill	honderdzeventig_jaar_geleden_permill	honderdtachtig_jaar_geleden_permill	honderdnegentig_jaar_geleden_permill	tweehonderd_jaar_geleden_permill	200_jaar_geleden_permill	no_words
1940	1.5943114965802019	0.6975112797538383	0.0	0.0	0.19928893707252524	0.09964446853626262	0.0	0.0	0.0	0.49822234268131305	0.09964446853626262	0.09964446853626262	0.0	0.0	0.09964446853626262	0.09964446853626262	0.0	0.0	0.0	1.1957336224351514	0.5978668112175757	0.6975112797538383	0.7971557482901009	0.29893340560878784	0.0	0.09964446853626262	0.0	1.1957336224351514	0.19928893707252524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10035680
1941	1.9703023584519228	0.6222007447742914	0.41480049651619433	0.20740024825809716	0.41480049651619433	0.0	0.10370012412904858	0.10370012412904858	0.0	0.41480049651619433	0.10370012412904858	0.0	0.0	0.0	0.0	0.0	0.0	0.10370012412904858	0.0	0.41480049651619433	0.10370012412904858	0.5185006206452429	0.41480049651619433	0.0	0.0	0.0	0.0	0.41480049651619433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9643190
1945	3.2490852741924723	0.43321136989232967	0.43321136989232967	0.8664227397846593	1.299634109676989	0.0	0.0	0.21660568494616483	0.0	0.8664227397846593	0.0	0.21660568494616483	0.21660568494616483	0.0	0.0	0.0	0.0	0.0	0.0	0.43321136989232967	0.0	0.0	0.43321136989232967	0.0	0.43321136989232967	0.0	0.0	1.0830284247308242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21660568494616483	4616684
1946	3.7543584078588377	1.1620633167182117	0.26816845770420267	0.35755794360560356	0.08938948590140089	0.5363369154084053	0.17877897180280178	0.0	0.0	0.7151158872112071	0.0	0.08938948590140089	0.08938948590140089	0.0	0.17877897180280178	0.0	0.08938948590140089	0.0	0.0	0.7151158872112071	0.17877897180280178	0.08938948590140089	0.35755794360560356	0.08938948590140089	0.08938948590140089	0.0	0.0	0.4469474295070045	0.08938948590140089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17877897180280178	11186998
1947	2.598853385886147	1.199470793485914	0.199911798914319	0.2998676983714785	0.2998676983714785	0.2998676983714785	0.2998676983714785	0.199911798914319	0.0999558994571595	0.799647195657276	0.0	0.199911798914319	0.0999558994571595	0.0999558994571595	0.0	0.0	0.0	0.0	0.0	0.799647195657276	0.399823597828638	0.0	0.399823597828638	0.0999558994571595	0.0	0.0999558994571595	0.0	0.2998676983714785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10004412
1948	2.290688914055561	1.963447640619052	0.7362928652321445	0.2454309550773815	0.08181031835912718	0.16362063671825436	0.08181031835912718	0.08181031835912718	0.0	0.6544825468730174	0.0	0.08181031835912718	0.08181031835912718	0.08181031835912718	0.16362063671825436	0.0	0.0	0.0	0.0	0.490861910154763	0.2454309550773815	0.08181031835912718	0.8181031835912718	0.4090515917956359	0.16362063671825436	0.0	0.0	0.7362928652321445	0.2454309550773815	0.0	0.0	0.0	0.0	0.08181031835912718	0.0	0.0	0.0	0.0	0.0	0.0	12223397
1949	3.0247698402215746	1.0922779978577908	0.5041283067035957	0.5041283067035957	0.0	0.2520641533517978	0.2520641533517978	0.0840213844505993	0.0	2.5206415335179786	0.1680427689011986	0.1680427689011986	0.0840213844505993	0.0	0.5041283067035957	0.1680427689011986	0.0	0.2520641533517978	0.0	0.6721710756047944	0.9242352289565922	0.2520641533517978	0.6721710756047944	0.2520641533517978	0.1680427689011986	0.0	0.0	0.3360855378023972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3360855378023972	11901732
1950	2.280058066564504	2.198627421330057	1.140029033282252	0.6514451618755726	0.8143064523444656	0.3257225809377863	0.0	0.24429193570333968	0.08143064523444657	1.3843209689855915	0.0	0.0	0.08143064523444657	0.0	0.4071532261722328	0.08143064523444657	0.0	0.08143064523444657	0.0	1.140029033282252	0.4071532261722328	0.08143064523444657	0.6514451618755726	0.8957370975789123	0.16286129046889314	0.08143064523444657	0.0	0.6514451618755726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16286129046889314	0.3257225809377863	12280389
1951	2.7174123033729285	2.0380592275296965	0.7642722103236361	0.25475740344121206	0.33967653792161606	0.33967653792161606	0.08491913448040402	0.08491913448040402	0.0	0.6793530758432321	0.0	0.08491913448040402	0.0	0.0	0.0	0.0	0.0	0.08491913448040402	0.0	0.8491913448040402	0.33967653792161606	0.4245956724020201	0.4245956724020201	0.5095148068824241	0.33967653792161606	0.08491913448040402	0.0	0.33967653792161606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11775909
1952	2.4779058721892957	2.957500557129159	0.87925692238975	1.2789191598396363	0.6394595799198182	0.3996622374498863	0.15986489497995454	0.3996622374498863	0.07993244748997727	0.9591893698797272	0.07993244748997727	0.15986489497995454	0.07993244748997727	0.07993244748997727	0.0	0.0	0.0	0.07993244748997727	0.0	1.1190542648596817	0.15986489497995454	0.3996622374498863	0.3996622374498863	0.07993244748997727	0.0	0.15986489497995454	0.0	0.7993244748997727	0.07993244748997727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15986489497995454	12510564
