date,een_jaar_geleden_permill,twee_jaar_geleden_permill,drie_jaar_geleden_permill,vier_jaar_geleden_permill,vijf_jaar_geleden_permill,zes_jaar_geleden_permill,zeven_jaar_geleden_permill,acht_jaar_geleden_permill,negen_jaar_geleden_permill,tien_jaar_geleden_permill,elf_jaar_geleden_permill,twaalf_jaar_geleden_permill,dertien_jaar_geleden_permill,veertien_jaar_geleden_permill,vijftien_jaar_geleden_permill,zestien_jaar_geleden_permill,zeventien_jaar_geleden_permill,achttien_jaar_geleden_permill,negentien_jaar_geleden_permill,twintig_jaar_geleden_permill,dertig_jaar_geleden_permill,veertig_jaar_geleden_permill,vijftig_jaar_geleden_permill,zestig_jaar_geleden_permill,zeventig_jaar_geleden_permill,tachtig_jaar_geleden_permill,negentig_jaar_geleden_permill,honderd_jaar_geleden_permill,honderdtien_jaar_geleden_permill,honderdtwintig_jaar_geleden_permill,honderddertig_jaar_geleden_permill,honderdveertig_jaar_geleden_permill,honderdvijftig_jaar_geleden_permill,honderdzestig_jaar_geleden_permill,honderdzeventig_jaar_geleden_permill,honderdtachtig_jaar_geleden_permill,honderdnegentig_jaar_geleden_permill,tweehonderd_jaar_geleden_permill,no_words
1901,0.7128838790578241,0.0,0.35644193952891207,0.35644193952891207,0.0,0.0,0.0,0.0,0.0,1.0693258185867363,0.7128838790578241,0.0,0.0,0.0,0.0,0.0,0.0,0.35644193952891207,0.0,0.35644193952891207,0.0,0.35644193952891207,0.0,0.0,0.0,0.0,0.0,0.35644193952891207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2805506
1902,0.0,0.6545367908584774,0.3272683954292387,0.0,0.0,0.3272683954292387,0.0,0.0,0.0,0.3272683954292387,0.0,0.0,0.0,0.0,0.3272683954292387,0.0,0.0,0.0,0.0,0.0,0.3272683954292387,0.0,0.0,0.3272683954292387,0.0,0.0,0.0,0.3272683954292387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3055596
1903,0.6571096637175585,0.0,0.0,0.0,0.0,0.32855483185877926,0.0,0.0,0.0,0.6571096637175585,0.0,0.0,0.32855483185877926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32855483185877926,0.0,0.0,0.32855483185877926,0.0,0.0,0.0,0.6571096637175585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3043632
1904,1.066837740025156,0.0,0.0,0.35561258000838536,0.0,0.0,0.0,0.0,0.0,0.7112251600167707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35561258000838536,0.35561258000838536,0.35561258000838536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2812049
1905,0.33176331872137094,0.0,0.0,0.9952899561641126,0.0,0.33176331872137094,0.0,0.0,0.0,0.33176331872137094,0.0,0.33176331872137094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33176331872137094,0.33176331872137094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3014197
1906,1.1680472498473509,1.1680472498473509,0.0,0.0,0.0,0.0,0.0,0.0,0.2920118124618377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5840236249236754,0.0,0.2920118124618377,0.2920118124618377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3424519
1907,1.4919650223720153,1.1935720178976124,0.2983930044744031,0.2983930044744031,0.0,0.0,0.0,0.0,0.0,0.5967860089488062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5967860089488062,0.2983930044744031,0.5967860089488062,0.2983930044744031,0.0,0.0,0.0,0.0,0.0,0.0,0.2983930044744031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3351285
1908,0.27766925537713455,0.5553385107542691,0.27766925537713455,0.27766925537713455,0.0,0.0,0.0,0.0,0.5553385107542691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8330077661314036,0.0,0.5553385107542691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3601407
1909,1.3203990562843866,0.5281596225137546,0.5281596225137546,0.0,0.0,0.0,0.0,0.0,0.0,0.5281596225137546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2640798112568773,0.0,0.5281596225137546,0.2640798112568773,0.0,0.0,0.0,0.0,0.2640798112568773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3786734
1910,1.5621497367387156,0.7810748683693578,0.5207165789129051,0.0,0.26035828945645256,0.0,0.26035828945645256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26035828945645256,1.0414331578258103,0.26035828945645256,0.26035828945645256,0.26035828945645256,0.0,0.0,0.0,0.7810748683693578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3840861
1911,2.004891489703434,1.1138286053907969,0.22276572107815934,0.0,0.22276572107815934,0.4455314421563187,0.22276572107815934,0.0,0.0,0.6682971632344781,0.0,0.0,0.0,0.22276572107815934,0.22276572107815934,0.0,0.0,0.22276572107815934,0.0,0.0,0.22276572107815934,0.0,0.0,0.0,0.0,0.22276572107815934,0.0,0.8910628843126374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4455314421563187,4489021
1912,0.9247862125473143,0.23119655313682858,0.46239310627365715,0.6935896594104858,0.23119655313682858,0.46239310627365715,0.46239310627365715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6935896594104858,0.0,0.0,0.23119655313682858,0.0,0.0,0.0,0.0,0.23119655313682858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23119655313682858,4325324
1913,0.517922447328582,1.035844894657164,0.0,0.258961223664291,0.0,0.0,0.258961223664291,0.258961223664291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258961223664291,0.258961223664291,0.0,0.0,0.0,0.0,0.0,0.0,0.7768836709928728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3861582
1914,0.6788292503450999,0.0,0.0,0.33941462517254994,0.33941462517254994,0.33941462517254994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33941462517254994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33941462517254994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2946249
1915,1.8172678150739183,0.2271584768842398,0.4543169537684796,0.4543169537684796,0.4543169537684796,0.0,0.0,0.0,0.0,0.9086339075369592,0.0,0.0,0.0,0.0,0.4543169537684796,0.0,0.0,0.0,0.0,0.4543169537684796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4543169537684796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4402213
1916,1.46723481259132,0.48907827086377337,0.24453913543188668,0.0,0.0,0.0,0.0,0.0,0.0,0.48907827086377337,0.0,0.0,0.0,0.0,0.24453913543188668,0.0,0.0,0.0,0.0,0.73361740629566,0.0,0.24453913543188668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4089325
1917,1.758385299898893,1.0047915999422243,0.2511978999855561,0.0,0.2511978999855561,0.0,0.2511978999855561,0.0,0.0,0.2511978999855561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2511978999855561,0.2511978999855561,0.0,0.0,0.0,0.0,0.0,0.2511978999855561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3980925
